title,star,quote,url
春光乍泄?/?春光乍洩?/?一起快乐  /  Happy Together,9,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
海豚湾?/?The Cove?/?血色海湾(台)  /  海湾,9.3,海豚的微笑，是世界上最高明的伪装。,https://movie.douban.com/subject/3442220/
致命ID?/?Identity?/?杀人游戏  /  致命身份,8.9,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
杀人回忆?/???? ???/?谋杀回忆  /  杀手回忆录,8.9,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
美国往事?/?Once Upon a Time in America?/?四海兄弟(台)  /  义薄云天(港),9.1,往事如烟，无处祭奠。,https://movie.douban.com/subject/1292262/
哈利·波特与密室?/?Harry Potter and the Chamber of Secrets?/?哈利波特2：消失的密室(港 / 台) ,8.9,魔法的密室之门已打开...,https://movie.douban.com/subject/1296996/
红辣椒?/?パプリカ?/?盗梦侦探(港 / 台) ,9.1,梦的勾结。,https://movie.douban.com/subject/1865703/
一一?/?Yi yi  /  Yi yi: A One and a Two,9.1,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
加勒比海盗?/?Pirates of the Caribbean: The Curse of the Black Pearl?/?加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),8.8,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
七宗罪?/?Se7en?/?火线追缉令(台)  /  7宗罪,8.8,警察抓小偷，老鼠玩死猫。,https://movie.douban.com/subject/1292223/
唐伯虎点秋香?/?唐伯虎點秋香?/?Flirting Scholar,8.7,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
狩猎?/?Jagten?/?诬网(港)  /  谎言的烙印(台),9.1,人言可畏。,https://movie.douban.com/subject/6985810/
7号房的礼物?/?7??? ???/?戆爸的礼物(港)  /  7号囚房的礼物,8.9,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
蝙蝠侠：黑暗骑士崛起?/?The Dark Knight Rises?/?蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),8.9,诺兰就是保证。,https://movie.douban.com/subject/3395373/
被嫌弃的松子的一生?/?嫌われ松子の一生?/?花样奇缘(港)  /  令人讨厌的松子的一生(台),8.8,以戏谑来戏谑戏谑。,https://movie.douban.com/subject/1787291/
甜蜜蜜?/?Comrades: Almost a Love Story,8.9,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
爱在黎明破晓前?/?Before Sunrise?/?情留半天(港)  /  爱在黎明破晓时(台),8.8,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
第六感?/?The Sixth Sense?/?鬼眼(港)  /  灵异第六感(台),8.9,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
超能陆战队?/?Big Hero 6?/?大英雄联盟(港)  /  大英雄天团(台),8.8,Balalala~~~,https://movie.douban.com/subject/11026735/
重庆森林?/?重慶森林?/?Chungking Express,8.8,寂寞没有期限。,https://movie.douban.com/subject/1291999/
寄生虫?/?????/?寄生上流(台)  /  上流寄生族(港),8.8,,https://movie.douban.com/subject/27010768/
请以你的名字呼唤我?/?Call Me by Your Name?/?以你的名字呼唤我(港 / 台) ,8.8,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
入殓师?/?おくりびと?/?礼仪师之奏鸣曲(港)  /  礼仪师(台),8.9,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
断背山?/?Brokeback Mountain?/?断臂山  /  BBM,8.8,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
幽灵公主?/?もののけ姫?/?魔法公主(港)  /  魔法公主(台),8.9,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
剪刀手爱德华?/?Edward Scissorhands?/?幻海奇缘(港)  /  剪刀手爱德华,8.7,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
爱在日落黄昏时?/?Before Sunset?/?日落巴黎(港)  /  爱在日落巴黎时(台),8.9,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
勇敢的心?/?Braveheart?/?惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),8.9,史诗大片的典范。,https://movie.douban.com/subject/1294639/
菊次郎的夏天?/?菊次郎の夏?/?菊次郎之夏  /  Kikujir? no natsu,8.9,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
借东西的小人阿莉埃蒂?/?借りぐらしのアリエッティ?/?借物少女艾莉缇(台)  /  借东西的小矮人亚莉亚蒂(港),8.9,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
未麻的部屋?/?Perfect Blue?/?蓝色恐惧(港 / 台) ,9.1,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
消失的爱人?/?Gone Girl?/?失踪的女孩  /  失踪女孩,8.7,年度最佳date movie。,https://movie.douban.com/subject/21318488/
无人知晓?/?誰も知らない?/?谁知赤子心(港)  /  无人知晓的夏日清晨(台),9.1,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
时空恋旅人?/?About Time?/?回到最爱的一天(港)  /  真爱每一天(台),8.8,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
完美的世界?/?A Perfect World?/?强盗保镳,9.1,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
阳光灿烂的日子?/?In the Heat of the Sun,8.8,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
倩女幽魂?/?倩女幽魂(87版)  /  倩女幽魂：妖魔道,8.8,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
哈利·波特与火焰杯?/?Harry Potter and the Goblet of Fire?/?哈利波特4：火杯的考验(港 / 台) ,8.8,,https://movie.douban.com/subject/1309055/
小森林 夏秋篇?/?リトル?フォレスト 夏?秋?/?小森食光 / 夏秋篇(台) ,9,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
天使爱美丽?/?Le Fabuleux destin d'Amélie Poulain?/?艾蜜莉的异想世界(台)  /  天使艾米莉,8.7,法式小清新。 ,https://movie.douban.com/subject/1292215/
茶馆?/?The Teahouse,9.6,,https://movie.douban.com/subject/1461403/
侧耳倾听?/?耳をすませば?/?心之谷(台)  /  梦幻街少女(港),8.9,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
驯龙高手?/?How to Train Your Dragon?/?驯龙记(港),8.8,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
教父3?/?The Godfather: Part III?/?教父第三集  /  教父 III,9,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
新世界?/?????/?暗黑新世界(台)  /  New World,8.9,要做就做得狠一点，这样才能活下去。,https://movie.douban.com/subject/10437779/
"怪兽电力公司?/?Monsters, Inc.?/?怪兽公司(港)  /  怪物公司",8.8,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
幸福终点站?/?The Terminal?/?机场客运站(港)  /  航站情缘(台),8.8,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
一个叫欧维的男人决定去死?/?En man som heter Ove?/?明天别再来敲门(台)  /  想死冇咁易(港),8.9,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
傲慢与偏见?/?Pride & Prejudice?/?傲慢与偏见2005  /  Pride And Prejudice,8.7,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
玩具总动员3?/?Toy Story 3?/?反斗奇兵3(港)  /  玩具的故事3,8.9,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
